ensemble_id,cluster_id
ENSG00000139211,5
ENSG00000121481,10
ENSG00000254685,22
ENSG00000140463,49
ENSG00000169567,24
ENSG00000113368,19
ENSG00000095059,17
ENSG00000198563,39
ENSG00000095485,33
ENSG00000171345,13
ENSG00000136710,0
ENSG00000101199,23
ENSG00000100983,33
ENSG00000109107,10
ENSG00000118363,20
ENSG00000133800,5
ENSG00000158445,43
ENSG00000144560,1
ENSG00000186407,44
ENSG00000139263,27
ENSG00000101290,14
ENSG00000150459,1
ENSG00000237289,33
ENSG00000107438,13
ENSG00000184402,12
ENSG00000155966,31
ENSG00000011426,19
ENSG00000131381,1
ENSG00000042286,40
ENSG00000147443,44
ENSG00000186318,30
ENSG00000227507,11
ENSG00000120217,11
ENSG00000153827,0
ENSG00000152684,9
ENSG00000179761,6
ENSG00000054965,10
ENSG00000123124,10
ENSG00000186908,12
ENSG00000171316,30
ENSG00000205002,4
ENSG00000134940,47
ENSG00000114054,9
ENSG00000270629,18
ENSG00000130544,12
ENSG00000119801,22
ENSG00000115271,29
ENSG00000172638,40
ENSG00000130313,17
ENSG00000131097,8
ENSG00000132153,18
ENSG00000175193,0
ENSG00000101442,23
ENSG00000266967,23
ENSG00000143420,17
ENSG00000197674,9
ENSG00000173933,38
ENSG00000205643,30
ENSG00000132563,40
ENSG00000138363,29
ENSG00000204264,36
ENSG00000100300,17
ENSG00000151490,44
ENSG00000130713,7
ENSG00000125912,17
ENSG00000125775,13
ENSG00000119729,22
ENSG00000137274,34
ENSG00000142534,21
ENSG00000165661,2
ENSG00000181991,17
ENSG00000125877,1
ENSG00000105968,4
ENSG00000248329,15
ENSG00000050820,12
ENSG00000101638,4
ENSG00000144843,15
ENSG00000184678,9
ENSG00000113312,20
ENSG00000170145,12
ENSG00000244734,8
ENSG00000158435,14
ENSG00000197299,19
ENSG00000110171,43
ENSG00000065057,7
ENSG00000120149,15
ENSG00000152782,26
ENSG00000197969,12
ENSG00000105856,0
ENSG00000166268,38
ENSG00000151023,46
ENSG00000136895,4
ENSG00000181036,11
ENSG00000179913,37
ENSG00000148516,5
ENSG00000111790,7
ENSG00000130856,16
ENSG00000177468,4
ENSG00000130475,11
ENSG00000185681,46
ENSG00000100364,0
ENSG00000166448,45
ENSG00000157107,0
ENSG00000176678,5
ENSG00000086758,0
ENSG00000129538,8
ENSG00000166073,37
ENSG00000067836,17
ENSG00000175768,20
ENSG00000116863,1
ENSG00000114541,32
ENSG00000113721,5
ENSG00000134531,5
ENSG00000112249,27
ENSG00000154262,5
ENSG00000161395,26
ENSG00000185002,4
ENSG00000138135,48
ENSG00000113356,34
ENSG00000065526,0
ENSG00000198832,10
ENSG00000186409,39
ENSG00000188910,13
ENSG00000105549,43
ENSG00000196793,22
ENSG00000124380,14
ENSG00000267281,23
ENSG00000119638,18
ENSG00000133026,0
ENSG00000113161,3
ENSG00000124702,30
ENSG00000151239,10
ENSG00000205078,17
ENSG00000142684,17
ENSG00000183576,9
ENSG00000107890,12
ENSG00000198840,9
ENSG00000110975,31
ENSG00000048991,10
ENSG00000257365,0
ENSG00000037474,3
ENSG00000187773,8
ENSG00000163995,4
ENSG00000214595,34
ENSG00000155886,4
ENSG00000147642,4
ENSG00000242802,23
ENSG00000136068,37
ENSG00000161914,17
ENSG00000135655,17
ENSG00000157343,23
ENSG00000065054,17
ENSG00000154845,22
ENSG00000135776,10
ENSG00000087470,9
ENSG00000154920,19
ENSG00000204963,24
ENSG00000106780,0
ENSG00000107185,25
ENSG00000112796,3
ENSG00000083223,0
ENSG00000151572,6
ENSG00000103342,10
ENSG00000107140,18
ENSG00000160396,10
ENSG00000172534,25
ENSG00000143756,10
ENSG00000080503,0
ENSG00000153162,15
ENSG00000214140,8
ENSG00000154767,20
ENSG00000012124,5
ENSG00000155380,4
ENSG00000128203,4
ENSG00000197629,11
ENSG00000131386,5
ENSG00000102879,11
ENSG00000006282,7
